,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
16,4ftGaN4dlV3NR-3Y3KCDS8j4W9NgYgdfbUtvx9A1a8ERVz0,l2ZrLdotoB74juDdFKR6GI0NxV9MaK4DWHhRFiRCPmT1a8k,tI0cmg8gyuZhPtLAMwSseaj7QWL4vzaFyZ_cOlmvLWSfBvNCyTfNw7rXeKVoBalXdeSJrbHM0107qQ,kisno,4450,1681720619240,429
17,377SPe4xsNqOBHUfsTvmAsZfhR2tUk-JLU1s4HnwZ97gnRWS,B_2nM5QQOr2nBCeHpodYAchuy_M-8JR5RYv7RaCGBA_NX7B1nVDa1_x0,ukpjdlM38q5LT0QNugmN7PRse-llVXc-LJayuKNaAEdFVW61fQnAS76loAwTNRxiUAv_osTxDLXZcA,Not Hans,4763,1681707121764,448
18,4JKltdk4JyZbNbRihXuJXfGPzbTJXKkpYkqKHyCUBTTuJao,hadCaUDeWiTPV_NUB7pGPf3CO3RbODd27Fi-5vYumApZtVI,h3TdDIuM5uKoQ_sHluRwuSZr2gssPgmLNGemR6bTtBIiztHfry7PheH25HV4oa5qngtrZWaB0uCz-A,Li Hai Xiao Zi,5752,1681626460000,223
19,qA2ku6-BOl0llhJRHP67akIo9qvektSONXffbTAHUqzaauQ,FE7yrp9R_8ypKZtQaMw-YS3E_3vWHcTr4cu_ByJM9uOQ6g,B_mKey3lRp0RTVv56raVFy77mJRp7U_GRc_4Te23vRcnbPlgYv0D9i9aaQWFXqYyvLm4aQa5OAxsdQ,KeeI,503,1681723349581,712
20,jgYV_ptjk66EA9P7eVR_E_H54PKvNbjm0lfe1gRPRH3XVKw,PVkQ-hxVJVRkJmV2YqDpYVThbMhsI3aGSfkaOZxUvg8x_Pk,Jyjus9sAuzptJO2Hbmv7-avkhzN19n8UxVQymtSak1J6Wl05A0H5MzejIhHFIa5jCVN7SBn1A4xTlw,ysssy,5752,1681708545000,473
21,FXpoIr2hZKkOsTaLjBawpcYV3sdy7bMOOSXklX3A0UYa4ZV9KrXoumQZig,urZbcQv188LBTFHj27zR8ahU3JXj8taaL7yL_0lB3BFaJJxBATzLwkx3,_IwzBKoS_ILLsI-gYSGNeIOuzMWk7vKmdLIl6X1R9mKAT7EW1iQJEyLwgNZj9LygLPt60uZcG9c_Hg,Pentaless,5585,1681700720892,236
22,A_U82hJbmZtdOEW4sRTE1NjYQlz9su3kgcghEuDPqW5otnjHQtvI9QImwA,Qz-TF-Z2w5XJJZOpJZZhrIrT095hf3DfHV5CNiev0p2P7YTvB1rRrNa9,a_T23SGyaj3ICs_tzoaCOKFP0vKYhXd8IYAYhl_XWpzbNUdmUPjHvH-X4M3h45P2jbp7HNGIHgVnTg,IIrrooGG,5692,1680826954000,46
23,FV-xSzOYnyXeGWw-xR-CUdTuCZ-DeFhI9TyhmhMh_CwIAXbaYiP9rHT49A,L-gT_V0faJp1hba_2T3bW7wfZeiHfKkDCJe0iqOYshQd0Hl7JiXZnUVt,OEHiHYvDpFoG9NZTJPcm8RhKsk8OiZsEF1rQlsAkP4MX7uW0vn1cA5z1YO9sWYLv6UIO59aYekKduw,STEVESTEVE10,1437,1681515555000,201
24,d71H6sdAYgNaOotAER9LEueD4X1KMYIO39miFpmFhCTmwP8,jOdqrxX7o7BC1Vj8kRLjxW2kOtey6ttMvWOXWa6-pSlO9G8,HtfYpoHmmE5pBnbdY9LTnp-7OtPPVCMSTJu2aLR2alOVraG8x50sUAZ0Y2qlTIom--wtb7gXd24n_A,ASTROBOY99,1337,1681704998579,321
25,O58yekLYfOuh-owS1ltG_LRLjACUnCD4_w2kAcFc6dr85i8,2SeeSuTaO3DwzVF7L6B794DBKwOJu2xDtWGCh28EzeWATQ,bvnuQB-7Gy_ae3GQhJ4H_gLO82A5YIo9z8lneJtXp0D4FsvRqNUoQzSiz5ENlDX4EKmE3ODJTOhbXw,warcyclone,745,1681727472729,783
