,match_id,blue_top,blue_jungle,blue_middle,blue_bottom,blue_support,red_top,red_jungle,red_middle,red_bottom,red_support,blue_win
48,NA1_4615181666,Gwen,LeeSin,Yone,Jinx,Pyke,Poppy,Graves,Malphite,Seraphine,Senna,True
49,NA1_4621945859,Jayce,Graves,Viktor,Kaisa,Nautilus,Renekton,MasterYi,Swain,Kalista,Leona,False
50,NA1_4628375770,Renekton,Karthus,LeeSin,Varus,Senna,Neeko,Hecarim,Riven,Aphelios,Lulu,True
51,NA1_4631038197,Tryndamere,Gragas,Syndra,Ashe,Soraka,Jayce,DrMundo,Akshan,Kalista,Nautilus,True
52,NA1_4629513386,Aphelios,Orianna,Ornn,Sejuani,Thresh,Jax,Nautilus,Amumu,Rumble,Samira,False
53,NA1_4623207266,Malphite,Khazix,KSante,Karthus,Senna,Jayce,Elise,Viktor,Aphelios,Soraka,True
54,NA1_4631307585,Vayne,Udyr,Katarina,Ezreal,Ashe,Chogath,MasterYi,Yone,Brand,Nami,False
55,NA1_4626593026,KSante,Trundle,Azir,Senna,TahmKench,Kennen,Udyr,Yasuo,Jinx,Thresh,True
56,NA1_4628758027,Kayn,Elise,Zed,Draven,Nautilus,Yasuo,Khazix,Diana,Varus,Pyke,False
57,NA1_4620153626,Fiora,Hecarim,Sylas,Xayah,Rakan,Aatrox,Graves,Zed,Seraphine,Senna,True
58,NA1_4629287742,Camille,Maokai,Chogath,KogMaw,Braum,Annie,RekSai,Nasus,Vayne,Velkoz,False
59,NA1_4613493193,Rumble,MonkeyKing,Syndra,Ashe,Braum,Camille,Elise,Akshan,Jinx,Nautilus,False
60,NA1_4627255136,Fiora,Hecarim,Sylas,Xayah,Milio,Gragas,Khazix,Zoe,Kaisa,Nautilus,False
61,NA1_4628802261,Pantheon,Ekko,Anivia,Jinx,Milio,Shen,MonkeyKing,Taliyah,Annie,Draven,True
62,NA1_4620847723,Quinn,Hecarim,Annie,Lux,Rakan,Mordekaiser,Kindred,Pantheon,Xayah,Morgana,True
63,NA1_4622262186,Singed,Viego,Malzahar,Jinx,Senna,Graves,LeeSin,Ryze,Ezreal,Seraphine,False
64,NA1_4613037371,Singed,MonkeyKing,Zed,Aphelios,Lulu,Chogath,Graves,Akali,Lucian,Nami,True
65,NA1_4627764743,Darius,Aphelios,Lux,MonkeyKing,Thresh,Vayne,Viego,Kassadin,Jinx,Ashe,False
66,NA1_4615570960,Jax,MonkeyKing,Taliyah,Jinx,Rakan,KSante,LeeSin,Leblanc,Tristana,Pyke,True
