,0
290,NA1_4617320544
291,NA1_4630746040
292,NA1_4612995085
293,NA1_4628731435
294,NA1_4624483829
295,NA1_4621819642
296,NA1_4626053942
297,NA1_4616120825
298,NA1_4622021624
299,NA1_4625639181
300,NA1_4619707872
301,NA1_4616164972
302,NA1_4630403967
303,NA1_4628920239
304,NA1_4623702894
305,NA1_4614967432
306,NA1_4621666725
307,NA1_4626393988
308,NA1_4631859299
309,NA1_4625672362
310,NA1_4630582132
311,NA1_4629772145
312,NA1_4629242083
313,NA1_4628924986
314,NA1_4618476427
315,NA1_4619818127
316,NA1_4610313189
317,NA1_4629843853
318,NA1_4604000121
319,NA1_4625577391
320,NA1_4632078056
321,NA1_4628953835
322,NA1_4631186102
323,NA1_4621736775
324,NA1_4622724054
325,NA1_4622995727
326,NA1_4629931771
327,NA1_4626244413
328,NA1_4631693453
329,NA1_4622469589
330,NA1_4630838012
331,NA1_4631929079
332,NA1_4626389353
333,NA1_4627438690
334,NA1_4629023117
335,NA1_4630050497
336,NA1_4628992235
337,NA1_4623238243
338,NA1_4620958300
339,NA1_4627646781
340,NA1_4615025981
341,NA1_4631201269
342,NA1_4615029524
343,NA1_4626971740
344,NA1_4631950734
345,NA1_4622750179
346,NA1_4625130895
347,NA1_4626528033
348,NA1_4628854699
349,NA1_4626725735
350,NA1_4625426271
351,NA1_4625138846
352,NA1_4628879920
353,NA1_4621704178
354,NA1_4623497357
355,NA1_4619724764
356,NA1_4631633386
357,NA1_4616104863
358,NA1_4632239071
359,NA1_4613576908
360,NA1_4613535024
361,NA1_4631554108
362,NA1_4632167072
363,NA1_4630164482
364,NA1_4617622801
365,NA1_4624402129
366,NA1_4616412636
367,NA1_4626235877
368,NA1_4631624578
369,NA1_4630169651
370,NA1_4621107039
371,NA1_4620123755
372,NA1_4631759079
373,NA1_4625676499
374,NA1_4631791073
375,NA1_4620375051
376,NA1_4625352294
377,NA1_4613324256
378,NA1_4626386920
379,NA1_4621504189
380,NA1_4617070950
381,NA1_4628516078
382,NA1_4631757864
383,NA1_4631068093
384,NA1_4623762201
385,NA1_4629153022
386,NA1_4617955108
387,NA1_4626351777
388,NA1_4618088798
389,NA1_4630327652
390,NA1_4632123428
391,NA1_4624699001
392,NA1_4625975008
393,NA1_4615567807
394,NA1_4614569117
395,NA1_4627497767
396,NA1_4623082539
397,NA1_4616459269
398,NA1_4632106596
399,NA1_4617699133
400,NA1_4631610765
401,NA1_4613241626
402,NA1_4626314527
403,NA1_4631556295
